DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/14/2016,6:20,,,,,,BRUCKNER BLVD                   ,SOUNDVIEW AVE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442175,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,6:15,,,,,,CROSS BRONX EXPRESSWAY          ,CASTLE HILL AVENUE              ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3442174,PASSENGER VEHICLE,,,,
05/14/2016,6:15,QUEENS,11368,40.7540732,-73.8575269,"(40.7540732, -73.8575269)",37 AVENUE                       ,110 STREET                      ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3441385,PASSENGER VEHICLE,,,,
05/14/2016,6:05,,,40.8394246,-73.8729203,"(40.8394246, -73.8729203)",                                ,                                ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3441558,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,6:05,,,,,,                                ,495                             ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442654,PASSENGER VEHICLE,,,,
05/14/2016,6:00,,,40.8506136,-73.9443548,"(40.8506136, -73.9443548)",                                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3445867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,6:00,QUEENS,11377,40.7418578,-73.9073967,"(40.7418578, -73.9073967)",                                ,                                ,58-01 QUEENS BOULEVARD                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441792,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,6:00,BRONX,10453,40.8570583,-73.9025621,"(40.8570583, -73.9025621)",                                ,                                ,2238 MORRIS AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441553,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,5:55,BRONX,10459,40.830152,-73.8933618,"(40.830152, -73.8933618)",FREEMAN STREET                  ,INTERVALE AVENUE                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441166,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,5:50,,,,,,JAY STREET                      ,SANDS STREET                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450961,PASSENGER VEHICLE,,,,
05/14/2016,5:40,BROOKLYN,11203,40.6582963,-73.9310841,"(40.6582963, -73.9310841)",UTICA AVENUE                    ,WINTHROP STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450312,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,5:39,QUEENS,11411,40.7010097,-73.7342073,"(40.7010097, -73.7342073)",                                ,                                ,223-04 114 ROAD                         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3443475,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/14/2016,5:37,BRONX,10462,40.84622,-73.8673089,"(40.84622, -73.8673089)",                                ,                                ,1853 VICTOR STREET                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3442333,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
05/14/2016,5:30,MANHATTAN,10029,40.7936636,-73.9436566,"(40.7936636, -73.9436566)",                                ,                                ,185 EAST 109 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442080,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,5:20,,,,,,                                ,                                ,FLATBUSH AVENUE EXTENSION               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441244,PASSENGER VEHICLE,,,,
05/14/2016,22:20,BRONX,10467,40.8842805,-73.8624158,"(40.8842805, -73.8624158)",WHITE PLAINS ROAD               ,EAST 220 STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442259,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:15,,,,,,PELHAM PARKWAY                  ,BOSTON ROAD                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442331,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:15,BRONX,10458,40.861925,-73.8935603,"(40.861925, -73.8935603)",BAINBRIDGE AVENUE               ,EAST FORDHAM ROAD               ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442356,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:14,,,,,,VANWYCK EXPRESSWAY              ,HILLSIDE AVENUE                 ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3442622,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:10,BRONX,10451,40.8187955,-73.9221241,"(40.8187955, -73.9221241)",EAST 151 STREET                 ,MORRIS AVENUE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442161,PASSENGER VEHICLE,OTHER,,,
05/14/2016,22:00,QUEENS,11377,40.7416722,-73.8957372,"(40.7416722, -73.8957372)",69 STREET                       ,43 AVENUE                       ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3442745,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:00,,,40.688922,-73.9991472,"(40.688922, -73.9991472)",CONGRESS STREET                 ,                                ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3442518,PASSENGER VEHICLE,,,,
05/14/2016,22:00,MANHATTAN,10003,40.7301223,-73.989468,"(40.7301223, -73.989468)",EAST 9 STREET                   ,3 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441953,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:00,BROOKLYN,11234,40.6324916,-73.9341443,"(40.6324916, -73.9341443)",TROY AVENUE                     ,AVENUE H                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442434,PASSENGER VEHICLE,OTHER,,,
05/14/2016,22:00,BROOKLYN,11223,40.5878075,-73.9696955,"(40.5878075, -73.9696955)",                                ,                                ,2521 WEST STREET                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3445661,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:00,BRONX,10473,40.8129219,-73.8609918,"(40.8129219, -73.8609918)",PATTERSON AVENUE                ,TAYLOR AVENUE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449034,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,22:00,BRONX,10463,40.8676575,-73.9081832,"(40.8676575, -73.9081832)",                                ,                                ,2500 BAILEY AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442357,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:57,,,,,,CANAL STREET                    ,WEST STREET                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3447489,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:50,BROOKLYN,11207,40.6690074,-73.8989797,"(40.6690074, -73.8989797)",                                ,                                ,293 WILLIAMS AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3470699,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:45,,,,,,                                ,                                ,2 AVENUE                                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442058,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:40,MANHATTAN,10002,40.7173813,-73.9913026,"(40.7173813, -73.9913026)",GRAND STREET                    ,ALLEN STREET                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441922,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:40,BROOKLYN,11203,40.6501081,-73.9302061,"(40.6501081, -73.9302061)",UTICA AVENUE                    ,SNYDER AVENUE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443298,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:35,BROOKLYN,11213,40.6692499,-73.9394287,"(40.6692499, -73.9394287)",ALBANY AVENUE                   ,EASTERN PARKWAY                 ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3441667,PASSENGER VEHICLE,,,,
05/14/2016,21:35,,,40.7567287,-73.9599934,"(40.7567287, -73.9599934)",EAST 53 STREET                  ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441985,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:35,QUEENS,11355,40.761131,-73.812267,"(40.761131, -73.812267)",SANFORD AVENUE                  ,MURRAY STREET                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442770,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:31,,,,,,CROSS BRONX EXPRESSWAY          ,DEWEY AVENUE                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441542,OTHER,PASSENGER VEHICLE,,,
05/14/2016,21:30,,,,,,CROSS BRONX EXPRESSWAY          ,VIRGINIA AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449024,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:29,BROOKLYN,11201,40.6885202,-73.992929,"(40.6885202, -73.992929)",COURT STREET                    ,DEAN STREET                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441686,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:25,BROOKLYN,11201,40.6899325,-73.9814728,"(40.6899325, -73.9814728)",FLATBUSH AVENUE EXTENSION       ,DE KALB AVENUE                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441685,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:20,MANHATTAN,10013,40.7223244,-74.0117465,"(40.7223244, -74.0117465)",LAIGHT STREET                   ,WEST STREET                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3447490,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:18,MANHATTAN,10036,40.7574052,-73.9902253,"(40.7574052, -73.9902253)",                                ,                                ,300 WEST 42 STREET                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441978,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:15,STATEN ISLAND,10304,40.5918322,-74.1009755,"(40.5918322, -74.1009755)",GARRETSON AVENUE                ,RICHMOND ROAD                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441856,PASSENGER VEHICLE,MOTORCYCLE,,,
